y,gender,senior,married,time,phone,lines,internet,security,backup,protection,support,TV,movies,billing,payment,chargesMonth,chargesTotal
1,Male,0,Yes,55,Yes,No,DSL,Yes,No,No,No,No,Yes,No,Credit card (automatic),59.45,3157
1,Female,0,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.3,743.05
1,Male,0,No,9,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,Mailed check,39.55,373
1,Female,1,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,104.4,4133.95
1,Female,0,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),115.6,8220.4
1,Female,0,No,13,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,No,Bank transfer (automatic),67.8,842.25
1,Male,1,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),111.6,7099
1,Female,0,Yes,60,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),80.6,4946.7
1,Male,0,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),104.4,6692.65
1,Female,0,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),25.3,116.95
1,Female,0,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),82.65,5919.35
1,Male,0,Yes,68,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,Bank transfer (automatic),95.1,6683.4
1,Male,0,Yes,63,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),39.35,2395.05
1,Female,0,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,1267
1,Female,0,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19,19
2,Female,0,No,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Bank transfer (automatic),64.65,994.55
2,Male,0,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),84.8,371.9
1,Male,0,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,100.65,2415.95
2,Male,0,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),69.8,134.7
1,Male,0,No,26,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Yes,Bank transfer (automatic),44.65,1156.55
1,Male,0,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Mailed check,100.9,5552.05
1,Female,0,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,95.85,95.85
2,Male,0,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,74.15,811.8
2,Male,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.35,69.35
1,Female,0,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,21.1,937.1
2,Female,1,Yes,50,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,71.05,3444.85
1,Male,0,No,8,Yes,Yes,DSL,No,No,No,No,Yes,No,Yes,Electronic check,59.25,436.6
1,Male,0,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,No,Credit card (automatic),103.95,7517.7
1,Female,0,No,18,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,75.4,1380.4
2,Female,0,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Electronic check,89.4,1095.65
1,Male,0,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20,1250.1
1,Female,0,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.5,4707.1
1,Male,0,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),88.8,1672.35
1,Male,0,Yes,65,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Mailed check,69.55,4459.15
2,Female,1,No,10,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,Electronic check,34.7,329.8
1,Female,0,Yes,63,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),50.65,3221.25
1,Female,0,No,12,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,No,Mailed check,49.85,552.1
2,Male,0,No,2,Yes,No,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),46,84.5
1,Male,0,No,31,No,No phone service,DSL,No,No,No,No,No,No,No,Credit card (automatic),25,789.2
1,Female,0,Yes,40,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,Electronic check,50.85,2036.55
2,Male,0,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Yes,Electronic check,79.85,152.45
1,Male,1,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),23.95,1756.2
1,Male,0,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,417.5
1,Male,0,Yes,36,No,No phone service,DSL,Yes,No,Yes,No,No,No,No,Mailed check,35.35,1317.95
1,Male,0,Yes,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),91.7,6075.9
1,Female,0,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.25,535.35
2,Female,0,No,4,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,45.3,196.95
1,Female,0,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),86.4,6058.95
2,Female,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.95,20.95
1,Male,0,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),88.8,5903.15
2,Female,1,No,40,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,55.8,2109.35
2,Female,0,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Credit card (automatic),86.15,2745.7
1,Female,0,No,54,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,No,Bank transfer (automatic),44.1,2369.7
1,Male,0,No,64,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),104.65,6889.8
1,Female,0,No,8,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Bank transfer (automatic),58.2,469.25
2,Female,1,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),79.75,159.4
1,Male,0,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,Electronic check,97,1334.45
1,Male,1,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.2,37.2
1,Female,0,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),115.1,7008.15
1,Male,0,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,90.35,767.9
1,Female,0,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,Credit card (automatic),79.55,958.25
1,Male,0,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.85,1539.75
1,Male,0,No,27,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Mailed check,53.45,1461.45
2,Female,0,No,5,No,No phone service,DSL,No,No,Yes,No,No,Yes,No,Electronic check,39.5,210.75
1,Male,0,Yes,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,Credit card (automatic),40.4,1842.7
1,Male,0,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,176.3
1,Male,0,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),76.4,3966.3
1,Male,0,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.65,928.4
1,Male,0,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),88,5986.45
1,Male,0,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.3,475.1
1,Male,0,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.45,86.05
1,Female,0,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),111.95,7795.95
1,Female,0,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),24.4,1601.2
1,Female,0,Yes,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Yes,Credit card (automatic),59.8,3808.2
2,Female,0,Yes,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.5,3762
2,Female,0,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),113.6,4594.95
1,Male,0,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.9,6241.35
1,Female,0,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,No,Bank transfer (automatic),94.15,5811.8
1,Female,0,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),65.5,4919.7
1,Female,0,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,Credit card (automatic),89.3,4192.15
1,Female,1,No,31,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Credit card (automatic),73.55,2094.65
1,Female,0,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.6,299.4
1,Female,0,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20,599.3
2,Male,1,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Credit card (automatic),74.3,1178.25
1,Female,0,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),114.9,7843.55
1,Female,0,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.6,93.45
1,Male,0,No,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,No,Mailed check,86.35,4267.15
1,Male,0,Yes,35,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,No,Credit card (automatic),53.15,1930.9
1,Male,1,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),19.35,847.25
1,Female,0,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,103.95,6423
1,Female,1,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),107.4,7748.75
1,Male,1,Yes,29,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Electronic check,51.6,1442
1,Male,1,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99,4744.35
2,Male,1,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,77,237.75
1,Male,1,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Credit card (automatic),79.15,827.7
2,Male,0,No,1,Yes,No,DSL,No,No,Yes,No,No,No,No,Mailed check,50.9,50.9
1,Female,1,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),25.7,1937.4
1,Male,0,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,Credit card (automatic),94.55,6078.75
1,Female,0,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.9,550.1
1,Male,0,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),103.75,7346.2
1,Female,0,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,84.05,134.05
1,Female,0,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),75.2,633.85
1,Male,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.05,20.05
1,Male,0,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Yes,Mailed check,50.55,610.75
1,Female,0,No,41,Yes,No,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),50.05,2029.05
1,Female,0,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,155.9
1,Female,0,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),98.8,3959.15
1,Female,0,No,9,Yes,No,DSL,No,No,No,Yes,Yes,No,Yes,Bank transfer (automatic),59.5,530.05
1,Male,0,Yes,62,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),60.15,3753.2
1,Male,0,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),68.8,4111.35
2,Male,0,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,96.05,1148.1
1,Male,0,Yes,45,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),54.65,2553.7
2,Female,0,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,Electronic check,34.7,62.25
1,Male,0,No,2,Yes,No,DSL,No,Yes,No,No,No,No,No,Mailed check,49.25,97
1,Male,1,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.85,183.15
2,Female,1,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,99.55,3734.25
1,Female,0,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Mailed check,75.85,854.45
1,Female,1,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),108.1,5839.3
1,Male,0,Yes,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Mailed check,85.85,4793.8
1,Male,0,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.7,130.25
1,Female,0,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,134.05
1,Male,0,Yes,33,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,Mailed check,61.05,2018.4
2,Female,1,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Credit card (automatic),83.15,446.05
1,Male,0,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Mailed check,49.95,587.45
1,Male,0,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Bank transfer (automatic),79.4,5528.9
2,Male,0,No,17,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,No,Electronic check,93.85,1625.65
1,Female,0,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Electronic check,94.2,999.9
2,Female,0,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,85.45,85.45
2,Male,0,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,45.7,45.7
1,Female,0,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.1,589.25
1,Female,0,No,28,Yes,Yes,DSL,Yes,No,Yes,No,No,No,No,Mailed check,59,1654.45
1,Female,0,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),89.05,6185.8
1,Male,0,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,70.35,2552.9
1,Male,0,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),26.1,980.35
1,Male,0,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Electronic check,84.6,959.9
1,Female,0,No,10,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,Bank transfer (automatic),40.7,449.3
1,Male,0,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Electronic check,82.65,1185
2,Female,1,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),105.25,6786.4
2,Male,0,Yes,22,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),67.5,1544.05
2,Male,0,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,85.6,813.85
1,Female,0,Yes,52,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Electronic check,100.3,5244.45
1,Female,0,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),105.65,6717.9
1,Male,0,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.7,1301.1
1,Female,0,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,No,Credit card (automatic),68.75,4888.2
1,Male,0,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,25.75,1686.15
1,Female,0,No,45,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,100.3,4483.95
2,Female,0,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,76.35
2,Male,0,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Yes,Electronic check,89.95,1178.4
2,Male,0,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.75,1052.35
1,Male,0,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),71.3,157.75
1,Female,0,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,Mailed check,103.05,5153.5
1,Male,1,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),64.95,4546
2,Female,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,No,Mailed check,69.55,69.55
2,Male,0,No,69,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),104.05,7262
1,Female,0,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,73.1,4144.9
1,Male,1,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),73.3,828.05
2,Female,1,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Electronic check,74.3,940.35
2,Female,1,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,73.9,2217.15
1,Male,0,Yes,13,Yes,No,DSL,No,No,No,No,No,No,No,Bank transfer (automatic),44.8,559.2
1,Male,0,No,66,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),79.5,5196.1
2,Female,0,Yes,17,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,No,Electronic check,91.85,1574.45
2,Male,1,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.75,69.75
2,Female,0,Yes,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Electronic check,85.3,4045.65
1,Female,0,No,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Bank transfer (automatic),106.4,3211.9
1,Female,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.25,20.25
1,Female,0,No,26,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Mailed check,49.5,1265.65
1,Male,0,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.65,654.85
1,Female,0,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),20.85,435.25
2,Female,0,Yes,72,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,54.2,3937.45
1,Female,0,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.1,43.15
1,Female,0,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),74.25,4859.25
1,Male,0,No,6,Yes,No,DSL,No,No,No,Yes,No,No,No,Mailed check,50.05,288.35
1,Male,0,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,94.55,1173.55
2,Male,0,No,6,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Credit card (automatic),30.5,208.7
2,Female,0,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Yes,Electronic check,90,1993.8
2,Female,0,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,95.2,292.85
2,Female,1,No,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Yes,Electronic check,55.8,55.8
1,Female,0,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,101.35,6164.7
1,Male,0,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),88.55,6362.35
1,Female,0,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),100.05,5299.65
1,Female,0,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),25.25,555.4
1,Male,0,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,88.75,1885.15
1,Male,0,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.45,159.2
1,Male,0,Yes,53,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Bank transfer (automatic),69.7,3686.05
2,Male,1,Yes,57,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Electronic check,44.85,2572.95
1,Female,0,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.6,1441.65
1,Female,0,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,Electronic check,55.25,1620.2
1,Female,0,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Electronic check,78.4,1832.4
1,Male,0,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19,348.8
2,Female,0,Yes,2,No,No phone service,DSL,No,No,No,No,No,No,Yes,Mailed check,24.4,36.55
1,Male,0,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.7,19.7
1,Female,0,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.45,254.5
1,Male,0,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,25.25,101.9
1,Female,1,Yes,50,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,100.65,5189.75
2,Male,1,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.7,560.85
2,Female,0,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),74.1,228
1,Male,0,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Credit card (automatic),96.4,4911.05
1,Female,0,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),79.2,4765
1,Female,0,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,No,Bank transfer (automatic),75.1,1212.85
1,Female,0,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.3,279.3
2,Male,1,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.6,819.4
1,Female,0,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,84.6,4449.75
1,Male,0,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),104.5,3778
1,Male,0,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Electronic check,85.7,4616.1
2,Female,0,No,8,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Electronic check,49.85,365.55
1,Male,1,Yes,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,105.8,2998
1,Male,0,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.1,53.05
2,Male,0,No,9,No,No phone service,DSL,No,No,No,No,Yes,No,Yes,Credit card (automatic),34.7,296.1
1,Male,0,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.25,835.5
1,Female,0,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.7,113.5
1,Male,0,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.15,682.15
1,Male,0,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,No,Electronic check,74,74
1,Female,1,Yes,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),49.45,2907.55
1,Female,0,No,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),92.15,6056.9
2,Female,1,Yes,31,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,98.9,2911.3
1,Male,0,Yes,18,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,No,Credit card (automatic),46.4,812.4
2,Male,0,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.35,834.2
2,Female,0,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),89.45,1430.25
2,Male,1,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85,2642.05
2,Male,1,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),95.6,644.35
2,Male,1,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Electronic check,75.65,1146.65
